suburb,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population
KOOYONG,283,226,Stonnington,78%,"$2,047","$2,232,000",10201
HILLSIDE,4717,798,Melton,64%,"$1,491","$867,300",27356
CARLTON,2909,16139,Melbourne,47%,$633,"$1,480,600",10673
ALPHINGTON,1729,1099,Darebin,73%,"$1,538","$1,729,600",9227
EAGLEMONT,1441,442,Banyule,77%,"$1,551","$2,047,000",21826
OAKLEIGH EAST,2245,1315,Monash,65%,"$1,340","$1,185,500",16280
YALLAMBIE,1286,81,Banyule,79%,"$1,458","$998,200",12063
EUMEMMERRING,610,489,Casey,59%,$819,"$668,900",9801
PLENTY,703,79,Nillumbik,83%,"$2,215","$1,668,900",1529
LAVERTON,2370,488,Hobsons Bay,67%,"$1,221","$603,500",29313
CLAYTON SOUTH,4011,2549,Kingston,44%,"$1,116","$927,200",19027
TRAVANCORE,415,1693,Moonee Valley,67%,"$1,512","$1,386,700",17187
SUNSHINE,4031,1779,Brimbank,52%,$929,"$883,700",30677
COBURG NORTH,3269,947,Moreland,63%,"$1,268","$909,700",29021
ASHWOOD,2378,1176,Monash,73%,"$1,469","$1,436,500",12420
LILYDALE,5989,2379,Yarra Ranges,82%,"$1,284","$908,900",13615
MAIDSTONE,2995,2208,Maribyrnong,56%,"$1,162","$843,300",19978
KEALBA,1111,142,Brimbank,46%,$907,"$704,200",54005
VIEWBANK,2434,356,Banyule,77%,"$1,551","$1,147,300",21826
MACLEOD,3511,1718,Banyule,79%,"$1,458","$1,123,400",12063
CROYDON SOUTH,1772,354,Maroondah,81%,"$1,267","$835,300",37491
CAULFIELD EAST,490,537,Glen Eira,76%,"$1,663","$1,382,800",13712
COOLAROO,1300,237,Hume,57%,$867,"$507,200",18590
CREMORNE,901,1028,Yarra,65%,"$1,731","$1,529,500",24112
GOWANBRAE,651,337,Moreland,65%,"$1,150","$919,100",16710
BALACLAVA,1403,2485,Port Phillip,63%,"$1,449","$1,462,600",17374
RIPPONLEA,363,695,Port Phillip,69%,"$1,497","$1,641,600",10824
CARRUM,1725,1350,Kingston,76%,"$1,305","$1,047,100",12098
BURNSIDE,1290,343,Melton,57%,"$1,423","$788,300",14107
MOORABBIN,2571,1673,Kingston,69%,"$1,294","$1,283,800",13081
SEAHOLME,826,188,Hobsons Bay,70%,"$1,160","$1,316,200",11742
SUNSHINE WEST,6571,1496,Brimbank,52%,$929,"$711,000",30677
SPOTSWOOD,1274,443,Hobsons Bay,74%,"$1,626","$1,144,200",14791
SOUTHBANK,807,24380,Melbourne,52%,"$1,838","$2,621,500",4101
RESEARCH,885,162,Nillumbik,85%,"$1,923","$1,488,100",28827
SOUTH KINGSVILLE,826,527,Hobsons Bay,74%,"$1,626","$979,800",14791
CAULFIELD,1723,1630,Glen Eira,61%,"$1,547","$1,704,100",15277
HEIDELBERG HEIGHTS,2701,1386,Banyule,74%,$938,"$976,700",13096
WATSONIA NORTH,1300,60,Banyule,82%,"$1,300","$912,000",8932
DANDENONG NORTH,7575,1845,Greater Dandenong,48%,$899,"$758,400",45248
